ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Age,Total_Dependents,Is_Parent,Total_Spending,Total_Purchases,Average_Spent,Tenure_Days,Total_Accepted_Cmp,Web_Ratio,Store_Ratio,Catalog_Ratio,Deals_Ratio,Ever_Accepted_Campaign,Wine_Ratio,Fruit_Ratio,Meat_Ratio,Fish_Ratio,Sweet_Ratio,Gold_Ratio,PurchaseCluster,DBSCAN_Cluster,Spending_Cluster
5524,1957,2.0,Single,58138.0,0,0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,1,False,False,True,False,False,68,0,0,1551.5,22,70.52272727272727,4703,0,0.3636363636363636,0.1818181818181818,0.4545454545454545,0.1363636363636363,0,0.4092813406380922,0.0522075410892684,0.3519174991943281,0.0776667740895907,0.0522075410892684,0.0567193038994521,1,0,1
2174,1954,2.0,Single,46344.0,1,1,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,0,False,False,True,False,False,71,2,1,27.0,4,6.75,4153,0,0.25,0.5,0.25,0.5,0,0.4074074074074074,0.037037037037037,0.2222222222222222,0.074074074074074,0.037037037037037,0.2222222222222222,0,0,1
4141,1965,2.0,Together,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,0,False,False,False,True,False,60,0,0,776.0,20,38.8,4352,0,0.4,0.5,0.1,0.05,0,0.5489690721649485,0.0631443298969072,0.163659793814433,0.143041237113402,0.027061855670103,0.0541237113402061,2,0,0
6182,1984,2.0,Together,26646.0,1,0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,0,False,False,False,True,False,41,1,1,53.0,6,8.833333333333334,4179,0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0.2075471698113207,0.0754716981132075,0.3773584905660377,0.1886792452830188,0.0566037735849056,0.0943396226415094,0,0,1
5324,1981,4.0,Married,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,0,False,True,False,False,False,44,1,1,422.0,14,30.142857142857142,4201,0,0.3571428571428571,0.4285714285714285,0.2142857142857142,0.3571428571428571,0,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.1090047393364928,0.0639810426540284,0.0355450236966824,1,0,1
7446,1967,3.0,Together,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,0,False,False,False,True,False,58,1,1,716.0,20,35.8,4333,0,0.3,0.5,0.2,0.1,0,0.7262569832402235,0.0586592178770949,0.1368715083798882,0.0,0.0586592178770949,0.0195530726256983,2,0,0
965,1971,2.0,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,0,True,False,False,False,False,54,1,1,590.0,17,34.705882352941174,4633,0,0.4117647058823529,0.4117647058823529,0.1764705882352941,0.2352941176470588,0,0.3983050847457627,0.1101694915254237,0.2779661016949152,0.0847457627118644,0.0830508474576271,0.0457627118644067,1,0,1
6177,1985,4.0,Married,33454.0,1,0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,0,False,True,False,False,False,40,1,1,169.0,8,21.125,4457,0,0.5,0.5,0.0,0.25,0,0.4497041420118343,0.059171597633136,0.3313609467455621,0.0177514792899408,0.0059171597633136,0.136094674556213,0,0,1
4855,1974,4.0,Together,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,1,False,False,False,True,False,51,1,1,46.0,5,9.2,4428,0,0.6,0.4,0.0,0.2,0,0.3043478260869565,0.0,0.5217391304347826,0.0652173913043478,0.0652173913043478,0.0434782608695652,0,0,1
5899,1950,4.0,Together,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,13,1,0,0,0,0,0,0,False,False,False,True,False,75,2,1,49.0,1,49.0,4148,1,1.0,0.0,0.0,1.0,1,0.5714285714285714,0.0,0.1224489795918367,0.0204081632653061,0.0204081632653061,0.2653061224489796,0,1,0
